uf;flag
AC;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Acre.svg.png
AL;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Alagoas.svg.png
AM;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Amazonas.svg.png
AP;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Amapa.svg.png
BA;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_da_Bahia.svg.png
CE;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Ceara.svg.png
DF;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Distrito_Federal.svg.png
ES;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Espirito_Santo.svg.png
GO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Goias.svg.png
MA;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Maranhao.svg.png
MG;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Minas_Gerais.svg.png
MS;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Mato_Grosso_do_Sul.svg.png
MT;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Mato_Grosso.svg.png
PA;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Para.svg.png
PB;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_da_Paraiba.svg.png
PE;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Pernambuco.svg.webp
PI;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Piaui.svg.png
PR;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Parana.svg.png
RJ;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Rio_de_Janeiro.svg.png
RN;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Rio_Grande_do_Norte.svg.png
RO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Rondonia.svg.png
RR;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Roraima.svg.png
RS;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Rio_Grande_do_Sul.svg.png
SC;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Santa_Catarina.svg.png
SE;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Sergipe.svg.png
SP;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_de_Sao_Paulo.svg.png
TO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/flags/Bandeira_do_Tocantins.svg.png
